 
****************************************
Report : area
Design : DEC_LUT_Decoder52bits_clk
Version: U-2022.12-SP6
Date   : Sat May 17 18:31:20 2025
****************************************

Library(s) Used:

    fsa0m_a_generic_core_ss1p62v125c (File: /usr/cad/Library/CBDK018_UMC_Faraday_v1.0/CIC/SynopsysDC/db/fsa0m_a_generic_core_ss1p62v125c.db)

Number of ports:                         8585
Number of nets:                         46405
Number of cells:                        41142
Number of combinational cells:          40887
Number of sequential cells:               125
Number of macros/black boxes:               0
Number of buf/inv:                       8299
Number of references:                     317

Combinational area:             741171.310013
Buf/Inv area:                   108274.319214
Noncombinational area:           10111.852402
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (Wire load has zero net area)

Total cell area:                751283.162415
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
div_9041_u_div_u_add_PartRem_17_1   1246.7952      0.2    1246.7952      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_347
div_9041_u_div_u_add_PartRem_17_2   1184.2992      0.2    1184.2992      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_612
div_9041_u_div_u_add_PartRem_17_3   1128.0528      0.2    1128.0528      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_474
div_9041_u_div_u_add_PartRem_17_4   1015.5600      0.1    1015.5600      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_484
div_9041_u_div_u_add_PartRem_17_5   1278.0432      0.2    1278.0432      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_432
div_9041_u_div_u_add_PartRem_1_1    1049.9328      0.1    1049.9328      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_406
div_9041_u_div_u_add_PartRem_1_2    1149.9264      0.2    1149.9264      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_606
div_9041_u_div_u_add_PartRem_1_3    1206.1728      0.2    1206.1728      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_467
div_9041_u_div_u_add_PartRem_1_4    1256.1696      0.2    1256.1696      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_392
div_9041_u_div_u_add_PartRem_1_5    1228.0464      0.2    1228.0464      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_499
div_9041_u_div_u_add_PartRem_1_6    1315.5408      0.2    1315.5408      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_419
div_9041_u_div_u_add_PartRem_1_7    1190.5488      0.2    1190.5488      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_516
div_9041_u_div_u_add_PartRem_2_1    1321.7904      0.2    1321.7904      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_540
div_9041_u_div_u_add_PartRem_2_2    1246.7952      0.2    1246.7952      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_607
div_9041_u_div_u_add_PartRem_2_3    1274.9184      0.2    1274.9184      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_653
div_9041_u_div_u_add_PartRem_2_4    1234.2960      0.2    1234.2960      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_666
div_9041_u_div_u_add_PartRem_2_5    1118.6784      0.1    1118.6784      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_521
div_9041_u_div_u_add_PartRem_2_6    1090.5552      0.1    1090.5552      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_670
div_9041_u_div_u_add_PartRem_2_7    1159.3008      0.2    1159.3008      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_517
div_9041_u_div_u_add_PartRem_3_1    1128.0528      0.2    1128.0528      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_684
div_9041_u_div_u_add_PartRem_3_2    1228.0464      0.2    1228.0464      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_637
div_9041_u_div_u_add_PartRem_3_3    1156.1760      0.2    1156.1760      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_441
div_9041_u_div_u_add_PartRem_3_4    1331.1648      0.2    1331.1648      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_603
div_9041_u_div_u_add_PartRem_3_5    1184.2992      0.2    1184.2992      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_478
div_9041_u_div_u_add_PartRem_3_6    1384.2864      0.2    1384.2864      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_452
div_9041_u_div_u_add_PartRem_3_7    1478.0304      0.2    1478.0304      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_515
div_9041_u_div_u_add_PartRem_4_1    1121.8032      0.1    1121.8032      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_514
div_9041_u_div_u_add_PartRem_4_2    1296.7920      0.2    1296.7920      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_407
div_9041_u_div_u_add_PartRem_4_3    1265.5440      0.2    1265.5440      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_654
div_9041_u_div_u_add_PartRem_4_4    1296.7920      0.2    1296.7920      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_650
div_9041_u_div_u_add_PartRem_4_5    1237.4208      0.2    1237.4208      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_634
div_9041_u_div_u_add_PartRem_4_6    1212.4224      0.2    1212.4224      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_617
div_9041_u_div_u_add_PartRem_4_7    1181.1744      0.2    1181.1744      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_522
div_9041_u_div_u_add_PartRem_5_1    1287.4176      0.2    1287.4176      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_400
div_9041_u_div_u_add_PartRem_5_2    1356.1632      0.2    1356.1632      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_492
div_9041_u_div_u_add_PartRem_5_3    1234.2960      0.2    1234.2960      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_469
div_9041_u_div_u_add_PartRem_5_4    1340.5392      0.2    1340.5392      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_669
div_9041_u_div_u_add_PartRem_5_5    1399.9104      0.2    1399.9104      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_659
div_9041_u_div_u_add_PartRem_5_6    1515.5280      0.2    1515.5280      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_618
div_9041_u_div_u_add_PartRem_5_7    1378.0368      0.2    1378.0368      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_518
div_9041_u_div_u_add_PartRem_6_1    1315.5408      0.2    1315.5408      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_412
div_9041_u_div_u_add_PartRem_6_2    1318.6656      0.2    1318.6656      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_608
div_9041_u_div_u_add_PartRem_6_3    1096.8048      0.1    1096.8048      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_494
div_9041_u_div_u_add_PartRem_6_4    1321.7904      0.2    1321.7904      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_623
div_9041_u_div_u_add_PartRem_6_5    1218.6720      0.2    1218.6720      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_645
div_9041_u_div_u_add_PartRem_6_6    1440.5328      0.2    1440.5328      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_668
div_9041_u_div_u_add_PartRem_6_7    1443.6576      0.2    1443.6576      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_693
div_9041_u_div_u_add_PartRem_7_1    1146.8016      0.2    1146.8016      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_401
div_9041_u_div_u_add_PartRem_7_2    1231.1712      0.2    1231.1712      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_658
div_9041_u_div_u_add_PartRem_7_3    1174.9248      0.2    1174.9248      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_470
div_9041_u_div_u_add_PartRem_7_4    1206.1728      0.2    1206.1728      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_641
div_9041_u_div_u_add_PartRem_7_5    1234.2960      0.2    1234.2960      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_663
div_9041_u_div_u_add_PartRem_7_6    1218.6720      0.2    1218.6720      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_619
div_9041_u_div_u_add_PartRem_7_7    1324.9152      0.2    1324.9152      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_443
div_9041_u_div_u_add_PartRem_8_1    1321.7904      0.2    1321.7904      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_411
div_9041_u_div_u_add_PartRem_8_2    1306.1664      0.2    1306.1664      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_626
div_9041_u_div_u_add_PartRem_8_3    1268.6688      0.2    1268.6688      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_485
div_9041_u_div_u_add_PartRem_8_4    1431.1584      0.2    1431.1584      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_602
div_9041_u_div_u_add_PartRem_8_5    1303.0416      0.2    1303.0416      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_488
