 
****************************************
Report : area
Design : Tradeoff_52bits
Version: U-2022.12-SP6
Date   : Sun May 11 17:04:07 2025
****************************************

Library(s) Used:

    fsa0m_a_generic_core_ss1p62v125c (File: /usr/cad/Library/CBDK018_UMC_Faraday_v1.0/CIC/SynopsysDC/db/fsa0m_a_generic_core_ss1p62v125c.db)

Number of ports:                         8963
Number of nets:                         20952
Number of cells:                        15160
Number of combinational cells:          14769
Number of sequential cells:               252
Number of macros/black boxes:               0
Number of buf/inv:                       3649
Number of references:                     263

Combinational area:             268173.458896
Buf/Inv area:                    37606.967624
Noncombinational area:           16667.683044
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (Wire load has zero net area)

Total cell area:                284841.141941
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
div_118_u_div_u_add_PartRem_16_4    1028.0592      0.4    1028.0592      0.0000  0.0000  Tradeoff_52bits_DW01_add_416
div_118_u_div_u_add_PartRem_16_5     896.8176      0.3     896.8176      0.0000  0.0000  Tradeoff_52bits_DW01_add_414
div_118_u_div_u_add_PartRem_16_6     928.0656      0.3     928.0656      0.0000  0.0000  Tradeoff_52bits_DW01_add_309
div_118_u_div_u_add_PartRem_16_7     931.1904      0.3     931.1904      0.0000  0.0000  Tradeoff_52bits_DW01_add_340
div_118_u_div_u_add_PartRem_17_1     771.8256      0.3     771.8256      0.0000  0.0000  Tradeoff_52bits_DW01_add_412
div_118_u_div_u_add_PartRem_17_2     878.0688      0.3     878.0688      0.0000  0.0000  Tradeoff_52bits_DW01_add_382
div_118_u_div_u_add_PartRem_17_3     871.8192      0.3     871.8192      0.0000  0.0000  Tradeoff_52bits_DW01_add_387
div_118_u_div_u_add_PartRem_17_4     784.3248      0.3     784.3248      0.0000  0.0000  Tradeoff_52bits_DW01_add_409
div_118_u_div_u_add_PartRem_17_5     812.4480      0.3     812.4480      0.0000  0.0000  Tradeoff_52bits_DW01_add_310
div_118_u_div_u_add_PartRem_17_6     849.9456      0.3     849.9456      0.0000  0.0000  Tradeoff_52bits_DW01_add_172
div_118_u_div_u_add_PartRem_17_7     943.6896      0.3     943.6896      0.0000  0.0000  Tradeoff_52bits_DW01_add_173
div_118_u_div_u_add_PartRem_1_1      928.0656      0.3     928.0656      0.0000  0.0000  Tradeoff_52bits_DW01_add_360
div_118_u_div_u_add_PartRem_1_2      909.3168      0.3     909.3168      0.0000  0.0000  Tradeoff_52bits_DW01_add_374
div_118_u_div_u_add_PartRem_1_3      924.9408      0.3     924.9408      0.0000  0.0000  Tradeoff_52bits_DW01_add_311
div_118_u_div_u_add_PartRem_1_4      912.4416      0.3     912.4416      0.0000  0.0000  Tradeoff_52bits_DW01_add_347
div_118_u_div_u_add_PartRem_1_5      965.5632      0.3     965.5632      0.0000  0.0000  Tradeoff_52bits_DW01_add_389
div_118_u_div_u_add_PartRem_1_6      962.4384      0.3     962.4384      0.0000  0.0000  Tradeoff_52bits_DW01_add_294
div_118_u_div_u_add_PartRem_1_7      903.0672      0.3     903.0672      0.0000  0.0000  Tradeoff_52bits_DW01_add_324
div_118_u_div_u_add_PartRem_2_1      946.8144      0.3     946.8144      0.0000  0.0000  Tradeoff_52bits_DW01_add_361
div_118_u_div_u_add_PartRem_2_2      874.9440      0.3     874.9440      0.0000  0.0000  Tradeoff_52bits_DW01_add_375
div_118_u_div_u_add_PartRem_2_3      924.9408      0.3     924.9408      0.0000  0.0000  Tradeoff_52bits_DW01_add_312
div_118_u_div_u_add_PartRem_2_4     1131.1776      0.4    1131.1776      0.0000  0.0000  Tradeoff_52bits_DW01_add_348
div_118_u_div_u_add_PartRem_2_5     1031.1840      0.4    1031.1840      0.0000  0.0000  Tradeoff_52bits_DW01_add_390
div_118_u_div_u_add_PartRem_2_6     1059.3072      0.4    1059.3072      0.0000  0.0000  Tradeoff_52bits_DW01_add_295
div_118_u_div_u_add_PartRem_2_7      934.3152      0.3     934.3152      0.0000  0.0000  Tradeoff_52bits_DW01_add_325
div_118_u_div_u_add_PartRem_3_1      865.5696      0.3     865.5696      0.0000  0.0000  Tradeoff_52bits_DW01_add_362
div_118_u_div_u_add_PartRem_3_2      843.6960      0.3     843.6960      0.0000  0.0000  Tradeoff_52bits_DW01_add_376
div_118_u_div_u_add_PartRem_3_3      903.0672      0.3     903.0672      0.0000  0.0000  Tradeoff_52bits_DW01_add_313
div_118_u_div_u_add_PartRem_3_4      921.8160      0.3     921.8160      0.0000  0.0000  Tradeoff_52bits_DW01_add_349
div_118_u_div_u_add_PartRem_3_5      909.3168      0.3     909.3168      0.0000  0.0000  Tradeoff_52bits_DW01_add_391
div_118_u_div_u_add_PartRem_3_6      884.3184      0.3     884.3184      0.0000  0.0000  Tradeoff_52bits_DW01_add_296
div_118_u_div_u_add_PartRem_3_7      918.6912      0.3     918.6912      0.0000  0.0000  Tradeoff_52bits_DW01_add_326
div_118_u_div_u_add_PartRem_4_1      878.0688      0.3     878.0688      0.0000  0.0000  Tradeoff_52bits_DW01_add_363
div_118_u_div_u_add_PartRem_4_2      865.5696      0.3     865.5696      0.0000  0.0000  Tradeoff_52bits_DW01_add_377
div_118_u_div_u_add_PartRem_4_3      856.1952      0.3     856.1952      0.0000  0.0000  Tradeoff_52bits_DW01_add_314
div_118_u_div_u_add_PartRem_4_4      890.5680      0.3     890.5680      0.0000  0.0000  Tradeoff_52bits_DW01_add_350
div_118_u_div_u_add_PartRem_4_5      881.1936      0.3     881.1936      0.0000  0.0000  Tradeoff_52bits_DW01_add_392
div_118_u_div_u_add_PartRem_4_6      959.3136      0.3     959.3136      0.0000  0.0000  Tradeoff_52bits_DW01_add_297
div_118_u_div_u_add_PartRem_4_7      959.3136      0.3     959.3136      0.0000  0.0000  Tradeoff_52bits_DW01_add_327
div_118_u_div_u_add_PartRem_5_1      865.5696      0.3     865.5696      0.0000  0.0000  Tradeoff_52bits_DW01_add_364
div_118_u_div_u_add_PartRem_5_2      859.3200      0.3     859.3200      0.0000  0.0000  Tradeoff_52bits_DW01_add_378
div_118_u_div_u_add_PartRem_5_3      896.8176      0.3     896.8176      0.0000  0.0000  Tradeoff_52bits_DW01_add_315
div_118_u_div_u_add_PartRem_5_4      909.3168      0.3     909.3168      0.0000  0.0000  Tradeoff_52bits_DW01_add_351
div_118_u_div_u_add_PartRem_5_5      890.5680      0.3     890.5680      0.0000  0.0000  Tradeoff_52bits_DW01_add_393
div_118_u_div_u_add_PartRem_5_6     1028.0592      0.4    1028.0592      0.0000  0.0000  Tradeoff_52bits_DW01_add_298
div_118_u_div_u_add_PartRem_5_7      934.3152      0.3     934.3152      0.0000  0.0000  Tradeoff_52bits_DW01_add_328
div_118_u_div_u_add_PartRem_6_1      849.9456      0.3     849.9456      0.0000  0.0000  Tradeoff_52bits_DW01_add_365
div_118_u_div_u_add_PartRem_6_2      837.4464      0.3     837.4464      0.0000  0.0000  Tradeoff_52bits_DW01_add_379
div_118_u_div_u_add_PartRem_6_3      849.9456      0.3     849.9456      0.0000  0.0000  Tradeoff_52bits_DW01_add_316
