 
****************************************
Report : area
Design : Tradeoff_24bits
Version: U-2022.12-SP6
Date   : Wed Apr 30 20:32:14 2025
****************************************

Library(s) Used:

    fsa0m_a_generic_core_ss1p62v125c (File: /usr/cad/Library/CBDK018_UMC_Faraday_v1.0/CIC/SynopsysDC/db/fsa0m_a_generic_core_ss1p62v125c.db)

Number of ports:                         4189
Number of nets:                         10279
Number of cells:                         7556
Number of combinational cells:           7326
Number of sequential cells:               157
Number of macros/black boxes:               0
Number of buf/inv:                       1853
Number of references:                      49

Combinational area:             115789.463314
Buf/Inv area:                    12742.934271
Noncombinational area:            9149.414429
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (Wire load has zero net area)

Total cell area:                124938.877742
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area             Local cell area
                                  --------------------  ------------------------------ 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-  Black-
                                  Total        Total    national     national   boxes   Design
div_118/u_div_u_add_PartRem_7_7      928.0656      0.7     928.0656     0.0000  0.0000  Tradeoff_24bits_DW01_add_113
div_118/u_div_u_add_PartRem_8_1      828.0720      0.7     828.0720     0.0000  0.0000  Tradeoff_24bits_DW01_add_100
div_118/u_div_u_add_PartRem_8_2      778.0752      0.6     778.0752     0.0000  0.0000  Tradeoff_24bits_DW01_add_101
div_118/u_div_u_add_PartRem_8_3      812.4480      0.7     812.4480     0.0000  0.0000  Tradeoff_24bits_DW01_add_102
div_85                             22101.7101     17.7   22101.7101     0.0000  0.0000  Tradeoff_24bits_DW_div_uns_7
lLUT_inst                           3106.0512      2.5    3106.0512     0.0000  0.0000  SEC_lLUT24bits
mult_113                            2640.4559      2.1    2640.4559     0.0000  0.0000  Tradeoff_24bits_DW_mult_uns_1
mult_113_2                          2640.4559      2.1    2640.4559     0.0000  0.0000  Tradeoff_24bits_DW_mult_uns_2
mult_89                             1771.7616      1.4    1771.7616     0.0000  0.0000  Tradeoff_24bits_DW_mult_uns_0
r468                                 237.4848      0.2     237.4848     0.0000  0.0000  Tradeoff_24bits_DW01_inc_0
rLUT_inst                           3677.8896      2.9    3677.8896     0.0000  0.0000  SEC_rLUT24bits
sub_0_root_sub_0_root_sub_113_4     2540.4624      2.0    2540.4624     0.0000  0.0000  Tradeoff_24bits_DW01_sub_5
sub_1_root_sub_0_root_sub_113_4     2540.4624      2.0    2540.4624     0.0000  0.0000  Tradeoff_24bits_DW01_sub_6
sub_59                               909.3168      0.7     909.3168     0.0000  0.0000  Tradeoff_24bits_DW01_sub_1
sub_89                               899.9424      0.7     899.9424     0.0000  0.0000  Tradeoff_24bits_DW01_sub_3
--------------------------------  -----------  -------  -----------  ---------  ------  -----------------------------
Total                                                   115789.4633  9149.4144  0.0000

1
